# pofo simdata v1
# id: DEVEXUS-DAILY
# name: Developed markets ex-US equity total return, DAILY SHAPE series
# source: Ken French "Developed ex US 3 Factors [Daily]" (dartmouth ftp, Developed_ex_US_3_Factors_daily_CSV.zip), market TR = Mkt-RF + RF, cumulated from 100. Universe close to (not identical to) MSCI World ex USA and gross of withholding: LEVELS ARE NOT AUTHORITATIVE. Used only as the intra-month daily shape behind the DEVEXUS-USD monthly net anchors (simgen dailyShape/anchorShape).
1990-07-02,100.000000
1990-07-03,100.230000
1990-07-04,101.192208
1990-07-05,100.605293
1990-07-06,100.645535
1990-07-09,100.917278
1990-07-10,101.462232
1990-07-11,101.482524
1990-07-12,101.878306
1990-07-13,102.846150
1990-07-16,103.473511
1990-07-17,103.711500
1990-07-18,103.877439
1990-07-19,103.441154
1990-07-20,102.623968
1990-07-23,102.028749
1990-07-24,101.314548
1990-07-25,101.294285
1990-07-26,100.443413
1990-07-27,99.760398
1990-07-30,99.720494
1990-07-31,101.704932
1990-08-01,101.084532
1990-08-02,99.042624
1990-08-03,97.457942
1990-08-06,94.397763
1990-08-07,93.293309
1990-08-08,93.759775
1990-08-09,93.375360
1990-08-10,92.964509
1990-08-13,91.151701
1990-08-14,92.227291
1990-08-15,95.003332
1990-08-16,93.996297
1990-08-17,92.877741
1990-08-20,92.004690
1990-08-21,90.873033
1990-08-22,89.419064
1990-08-23,86.012198
1990-08-24,86.287437
1990-08-27,89.255725
1990-08-28,90.915881
1990-08-29,90.097638
1990-08-30,90.863468
1990-08-31,91.054281
1990-09-03,90.089106
1990-09-04,88.827859
1990-09-05,88.641320
1990-09-06,88.260162
1990-09-07,88.163076
1990-09-10,89.838175
1990-09-11,88.823003
1990-09-12,90.448464
1990-09-13,90.710765
1990-09-14,90.320708
1990-09-17,89.309117
1990-09-18,87.728345
1990-09-19,86.614195
1990-09-20,85.211045
1990-09-21,84.733863
1990-09-24,84.877911
1990-09-25,82.713524
1990-09-26,80.926912
1990-09-27,79.818213
1990-09-28,78.333595
1990-10-01,78.419762
1990-10-02,82.293698
1990-10-03,82.976735
1990-10-04,83.275452
1990-10-05,84.857685
1990-10-08,87.793761
1990-10-09,87.512821
1990-10-10,87.127765
1990-10-11,85.672731
1990-10-12,86.041124
1990-10-15,87.108034
1990-10-16,88.257860
1990-10-17,89.361083
1990-10-18,90.630010
1990-10-19,91.527248
1990-10-22,92.543200
1990-10-23,92.607980
1990-10-24,92.126419
1990-10-25,93.379338
1990-10-26,92.025338
1990-10-29,92.071350
1990-10-30,91.196672
1990-10-31,90.658612
1990-11-01,88.709452
1990-11-02,89.321547
1990-11-05,90.813217
1990-11-06,90.086711
1990-11-07,88.780454
1990-11-08,86.889430
1990-11-09,86.585317
1990-11-12,87.191415
1990-11-13,88.769579
1990-11-14,88.583163
1990-11-15,87.998514
1990-11-16,87.523322
1990-11-19,88.617364
1990-11-20,88.094521
1990-11-21,87.627620
1990-11-22,88.871932
1990-11-23,88.943030
1990-11-26,88.409372
1990-11-27,88.400531
1990-11-28,86.641360
1990-11-29,84.527311
1990-11-30,83.969431
1990-12-03,84.095385
1990-12-04,83.086240
1990-12-05,83.534906
1990-12-06,85.673400
1990-12-07,88.466353
1990-12-10,88.643285
1990-12-11,88.563506
1990-12-12,88.944329
1990-12-13,89.807089
1990-12-14,89.034748
1990-12-17,87.779358
1990-12-18,88.069030
1990-12-19,88.553410
1990-12-20,86.560958
1990-12-21,85.201951
1990-12-24,84.682219
1990-12-25,83.767651
1990-12-26,83.951940
1990-12-27,84.161820
1990-12-28,85.020271
1990-12-31,84.858732
1991-01-01,85.062393
1991-01-02,85.164468
1991-01-03,85.598807
1991-01-04,84.991055
1991-01-07,83.070257
1991-01-08,81.624835
1991-01-09,82.751258
1991-01-10,82.469903
1991-01-11,82.841018
1991-01-14,81.855210
1991-01-15,81.421377
1991-01-16,79.874371
1991-01-17,84.395260
1991-01-18,85.205455
1991-01-21,84.728304
1991-01-22,84.524956
1991-01-23,83.891019
1991-01-24,84.687984
1991-01-25,85.340081
1991-01-28,85.536364
1991-01-29,85.681775
1991-01-30,85.930253
1991-01-31,86.454427
1991-02-01,86.393909
1991-02-04,87.136897
1991-02-05,89.062622
1991-02-06,90.398561
1991-02-07,91.275427
1991-02-08,91.859590
1991-02-11,92.695512
1991-02-12,93.863476
1991-02-13,94.173225
1991-02-14,94.493414
1991-02-15,94.342225
1991-02-18,96.323412
1991-02-19,95.889956
1991-02-20,95.132426
1991-02-21,95.256098
1991-02-22,94.617882
1991-02-25,95.346440
1991-02-26,94.888777
1991-02-27,94.841332
1991-02-28,95.476769
1991-03-01,93.844116
1991-03-04,93.525046
1991-03-05,94.048787
1991-03-06,95.167967
1991-03-07,95.044249
1991-03-08,95.120284
1991-03-11,94.283226
1991-03-12,95.263771
1991-03-13,94.463556
1991-03-14,95.379852
1991-03-15,95.351238
1991-03-18,94.721920
1991-03-19,93.755756
1991-03-20,92.405674
1991-03-21,93.228084
1991-03-22,93.200116
1991-03-25,91.820754
1991-03-26,91.582020
1991-03-27,91.078319
1991-03-28,90.777760
1991-03-29,91.340582
1991-04-01,91.523264
1991-04-02,93.070007
1991-04-03,94.680118
1991-04-04,95.475431
1991-04-05,95.236742
1991-04-08,94.617703
1991-04-09,95.270566
1991-04-10,94.298806
1991-04-11,94.751440
1991-04-12,94.978844
1991-04-15,96.280054
1991-04-16,96.251170
1991-04-17,96.106793
1991-04-18,95.011176
1991-04-19,93.063446
1991-04-22,91.220790
1991-04-23,92.424905
1991-04-24,91.944295
1991-04-25,91.383435
1991-04-26,91.282913
1991-04-29,91.492864
1991-04-30,92.599927
1991-05-01,93.340727
1991-05-02,93.378063
1991-05-03,92.724417
1991-05-06,92.946955
1991-05-07,93.476753
1991-05-08,92.766330
1991-05-09,92.497307
1991-05-10,92.941294
1991-05-13,92.355764
1991-05-14,92.706716
1991-05-15,92.576927
1991-05-16,92.345484
1991-05-17,91.403560
1991-05-20,91.312157
1991-05-21,91.978736
1991-05-22,91.528040
1991-05-23,92.113819
1991-05-24,91.865112
1991-05-27,91.754874
1991-05-28,91.938384
1991-05-29,91.846445
1991-05-30,92.186277
1991-05-31,92.269245
1991-06-03,92.140068
1991-06-04,91.872862
1991-06-05,91.349186
1991-06-06,90.956385
1991-06-07,90.083203
1991-06-10,88.885097
1991-06-11,89.338411
1991-06-12,88.516498
1991-06-13,88.826305
1991-06-14,89.510268
1991-06-17,89.080619
1991-06-18,88.359066
1991-06-19,87.625685
1991-06-20,88.063814
1991-06-21,88.319199
1991-06-24,87.639141
1991-06-25,87.551502
1991-06-26,87.647808
1991-06-27,87.253393
1991-06-28,86.424486
1991-07-01,87.504792
1991-07-02,87.154773
1991-07-03,85.603418
1991-07-04,85.132599
1991-07-05,85.405024
1991-07-08,83.978760
1991-07-09,84.583407
1991-07-10,86.012866
1991-07-11,85.720423
1991-07-12,87.280534
1991-07-15,88.153340
1991-07-16,87.783096
1991-07-17,87.537303
1991-07-18,87.554810
1991-07-19,88.185205
1991-07-22,87.532634
1991-07-23,87.874012
1991-07-24,88.700027
1991-07-25,87.821897
1991-07-26,88.814285
1991-07-29,88.316925
1991-07-30,88.899816
1991-07-31,89.442105
1991-08-01,89.102225
1991-08-02,89.797223
1991-08-05,89.761304
1991-08-06,89.518948
1991-08-07,89.930735
1991-08-08,89.328199
1991-08-09,88.568910
1991-08-12,87.957784
1991-08-13,87.720298
1991-08-14,88.334340
1991-08-15,87.936836
1991-08-16,86.872800
1991-08-19,81.417188
1991-08-20,82.915264
1991-08-21,85.618302
1991-08-22,87.390601
1991-08-23,86.202089
1991-08-26,85.702117
1991-08-27,85.547853
1991-08-28,85.564962
1991-08-29,86.104022
1991-08-30,86.844516
1991-09-02,87.495850
1991-09-03,87.802086
1991-09-04,87.819646
1991-09-05,87.881120
1991-09-06,88.434771
1991-09-09,89.115719
1991-09-10,88.679052
1991-09-11,88.590372
1991-09-12,89.148492
1991-09-13,90.039977
1991-09-16,90.274081
