# pofo simdata v1
# id: EM-USD
# name: Emerging markets equity total return (USD, monthly)
# source: Ken French Emerging market (Mkt-RF+RF, 1989-07->). Proxy behind VEIEX; overwrite with a Curvo MSCI EM export to reach 1988.
1989-07-01,100.000000
1989-08-01,102.370000
1989-09-01,117.786922
1989-10-01,116.020118
1989-11-01,117.656002
1989-12-01,126.527264
1990-01-01,128.539048
1990-02-01,134.104789
1990-03-01,128.163947
1990-04-01,127.612842
1990-05-01,138.855533
1990-06-01,144.798550
1990-07-01,156.107316
1990-08-01,136.390962
1990-09-01,121.347039
1990-10-01,123.397804
1990-11-01,118.795066
1990-12-01,119.674150
1991-01-01,122.713873
1991-02-01,138.408977
1991-03-01,142.284429
1991-04-01,143.123907
1991-05-01,150.222853
1991-06-01,145.040164
1991-07-01,147.186759
1991-08-01,147.996286
1991-09-01,143.497199
1991-10-01,150.944703
1991-11-01,150.793759
1991-12-01,164.214403
1992-01-01,178.993699
1992-02-01,187.495900
1992-03-01,183.164745
1992-04-01,181.992490
1992-05-01,181.391915
1992-06-01,167.987053
1992-07-01,167.684676
1992-08-01,162.016934
1992-09-01,160.461571
1992-10-01,167.890942
1992-11-01,167.068277
1992-12-01,170.827313
1993-01-01,169.751101
1993-02-01,175.420787
1993-03-01,181.472805
1993-04-01,189.330577
1993-05-01,197.528591
1993-06-01,198.496481
1993-07-01,205.821001
1993-08-01,223.336368
1993-09-01,234.212850
1993-10-01,256.790968
1993-11-01,272.891762
1993-12-01,323.294871
1994-01-01,319.738627
1994-02-01,316.541241
1994-03-01,280.613810
1994-04-01,279.912275
1994-05-01,285.174626
1994-06-01,276.647905
1994-07-01,294.685348
1994-08-01,330.578024
1994-09-01,339.106937
1994-10-01,329.476300
1994-11-01,315.209976
1994-12-01,286.620431
1995-01-01,251.165484
1995-02-01,252.521777
1995-03-01,252.193499
1995-04-01,258.750530
1995-05-01,273.783936
1995-06-01,275.234991
1995-07-01,283.547087
1995-08-01,276.770312
1995-09-01,275.524846
1995-10-01,265.909028
1995-11-01,262.930847
1995-12-01,271.975668
1996-01-01,296.127108
1996-02-01,289.256959
1996-03-01,292.756968
1996-04-01,300.192995
1996-05-01,296.140390
1996-06-01,299.457162
1996-07-01,283.256530
1996-08-01,291.839202
1996-09-01,296.245974
1996-10-01,290.972796
1996-11-01,295.337388
1996-12-01,297.286615
1997-01-01,318.304778
1997-02-01,334.761135
1997-03-01,327.563771
1997-04-01,321.012496
1997-05-01,331.220693
1997-06-01,346.920554
1997-07-01,349.661226
1997-08-01,310.464203
1997-09-01,315.866280
1997-10-01,265.706715
1997-11-01,251.358552
1997-12-01,251.459095
1998-01-01,235.944069
1998-02-01,260.859763
1998-03-01,271.528927
1998-04-01,273.619700
1998-05-01,245.135889
1998-06-01,220.132029
1998-07-01,225.084999
1998-08-01,169.871649
1998-09-01,176.751451
1998-10-01,191.032968
1998-11-01,203.316388
1998-12-01,199.799014
1999-01-01,196.702129
1999-02-01,197.134874
1999-03-01,215.113575
1999-04-01,238.109216
1999-05-01,240.918905
1999-06-01,266.480400
1999-07-01,262.776323
1999-08-01,270.134060
1999-09-01,262.003025
1999-10-01,270.727725
1999-11-01,294.226892
1999-12-01,329.004511
2000-01-01,331.735248
2000-02-01,341.488264
2000-03-01,343.707938
2000-04-01,306.346885
2000-05-01,298.381866
2000-06-01,305.005944
2000-07-01,290.823167
2000-08-01,290.881332
2000-09-01,264.003897
2000-10-01,241.193960
2000-11-01,220.837190
2000-12-01,223.708073
2001-01-01,250.575413
2001-02-01,234.237896
2001-03-01,215.100660
2001-04-01,223.554116
2001-05-01,225.923789
2001-06-01,221.879754
2001-07-01,207.146938
2001-08-01,203.977590
2001-09-01,174.604817
2001-10-01,183.858872
2001-11-01,201.932199
2001-12-01,218.571413
2002-01-01,225.303412
2002-02-01,228.254887
2002-03-01,243.342535
2002-04-01,244.023894
2002-05-01,238.826185
2002-06-01,221.248578
2002-07-01,207.796664
2002-08-01,210.144766
2002-09-01,187.049857
2002-10-01,198.422488
2002-11-01,210.565944
