# pofo simdata v1
# id: MSCIWORLD-USD
# name: MSCI World net total return (USD, monthly month-end)
# source: MSCI via Curvo export (curvo.eu/backtest uses NET total-return indices), personal use; not for redistribution. Validated 2026-07-01: Dec2012->Dec2024 10.82%/yr and Dec2014->Dec2024 9.95%/yr match MSCI World NET USD exactly (gross was 11.41% / 10.52%). Net is the right proxy for an Irish-domiciled UCITS World ETF (IWDA/URTH track the net index). DATES: each point is dated the LAST calendar day of its month and holds that month-end level (relabeled from the first-of-month export 2026-07-18, so anchorShape pins it to the right month; values unchanged).
1969-12-31,10000.000000
1970-01-31,9445.500000
1970-02-28,9740.500000
1970-03-31,9770.800000
1970-04-30,8857.800000
1970-05-31,8299.000000
1970-06-30,8094.600000
1970-07-31,8596.500000
1970-08-31,8879.900000
1970-09-30,9166.700000
1970-10-31,9031.400000
1970-11-30,9233.700000
1970-12-31,9691.500000
1971-01-31,10136.900000
1971-02-28,10243.800000
1971-03-31,10693.300000
1971-04-30,11042.900000
1971-05-31,10781.400000
1971-06-30,10890.900000
1971-07-31,10716.800000
1971-08-31,10950.700000
1971-09-30,10846.600000
1971-10-31,10435.100000
1971-11-30,10523.300000
1971-12-31,11471.200000
1972-01-31,11891.100000
1972-02-29,12347.300000
1972-03-31,12518.700000
1972-04-30,12684.800000
1972-05-31,12943.200000
1972-06-30,12642.800000
1972-07-31,12838.100000
1972-08-31,13202.800000
1972-09-30,13001.900000
1972-10-31,13109.400000
1972-11-30,13797.500000
1972-12-31,14050.300000
1973-01-31,14082.600000
1973-02-28,14179.900000
1973-03-31,14199.700000
1973-04-30,13484.200000
1973-05-31,13444.000000
1973-06-30,13528.500000
1973-07-31,13851.000000
1973-08-31,13274.300000
1973-09-30,13658.400000
1973-10-31,13796.200000
1973-11-30,12007.300000
1973-12-31,11908.600000
1974-01-31,11999.900000
1974-02-28,12186.600000
1974-03-31,11878.000000
1974-04-30,11680.100000
1974-05-31,11209.800000
1974-06-30,10857.400000
1974-07-31,10214.400000
1974-08-31,9228.700000
1974-09-30,8368.000000
1974-10-31,9168.900000
1974-11-30,9025.700000
1974-12-31,8875.800000
1975-01-31,10170.100000
1975-02-28,11068.300000
1975-03-31,11149.400000
1975-04-30,11611.200000
1975-05-31,11885.800000
1975-06-30,12035.600000
1975-07-31,11370.600000
1975-08-31,11194.500000
