# pofo simdata v1
# id: USEQ-USD
# name: US equity total return (USD, monthly)
# source: Ken French US market (F-F_Research_Data_Factors, Mkt-RF+RF, 1926-07->), CRSP total US market. Proxy behind VFINX.
1926-07-01,100.000000
1926-08-01,102.890000
1926-09-01,103.517629
1926-10-01,100.463859
1926-11-01,103.327079
1926-12-01,106.323564
1927-01-01,106.536211
1927-02-01,111.255766
1927-03-01,111.745291
1927-04-01,112.549857
1927-05-01,119.021474
1927-06-01,116.498218
1927-07-01,125.305484
1927-08-01,128.149918
1927-09-01,134.531784
1927-10-01,129.096700
1927-11-01,137.784908
1927-12-01,140.967739
1928-01-01,140.516643
1928-02-01,138.605616
1928-03-01,151.191006
1928-04-01,157.949244
1928-05-01,160.855510
1928-06-01,153.472242
1928-07-01,154.930229
1928-08-01,165.790838
1928-09-01,170.996670
1928-10-01,173.937813
1928-11-01,195.158226
1928-12-01,196.055954
1929-01-01,205.858752
1929-02-01,205.899923
1929-03-01,204.849834
1929-04-01,208.598586
1929-05-01,196.207830
1929-06-01,216.260270
1929-07-01,226.662389
1929-08-01,246.019357
1929-09-01,233.472370
1929-10-01,187.688438
1929-11-01,164.227383
1929-12-01,166.937135
1930-01-01,176.536020
1930-02-01,181.479029
1930-03-01,194.981069
1930-04-01,191.393417
1930-05-01,188.713909
1930-06-01,158.878240
1930-07-01,165.741780
1930-08-01,166.388173
1930-09-01,145.439902
1930-10-01,132.801175
1930-11-01,128.936660
1930-12-01,118.982750
1931-01-01,126.597646
1931-02-01,140.422109
1931-03-01,131.687854
1931-04-01,118.624419
1931-05-01,102.965996
1931-06-01,117.391532
1931-07-01,109.678908
1931-08-01,110.150527
1931-09-01,78.526311
1931-10-01,84.879089
1931-11-01,77.265435
1931-12-01,66.911867
1932-01-01,66.015248
1932-02-01,69.764914
1932-03-01,61.993102
1932-04-01,50.939732
1932-05-01,40.522557
1932-06-01,40.218638
1932-07-01,53.744166
1932-08-01,73.710123
1932-09-01,71.565159
1932-10-01,62.168653
1932-11-01,58.525570
1932-12-01,61.118253
1933-01-01,61.882231
1933-02-01,52.401873
1933-03-01,54.026331
1933-04-01,75.047977
1933-05-01,91.160778
1933-06-01,103.121072
1933-07-01,93.200825
1933-08-01,104.450164
1933-09-01,93.347112
1933-10-01,85.552628
1933-11-01,94.099335
1933-12-01,95.830763
1934-01-01,107.953355
1934-02-01,105.265316
1934-03-01,105.381108
1934-04-01,103.505324
1934-05-01,96.001188
1934-06-01,98.612421
1934-07-01,87.834083
1934-08-01,92.744008
1934-09-01,92.530697
1934-10-01,91.003941
1934-11-01,98.593669
1934-12-01,98.958466
1935-01-01,95.544399
1935-02-01,93.690837
1935-03-01,90.224276
1935-04-01,98.407618
1935-05-01,101.822363
1935-06-01,107.870611
1935-07-01,116.014842
1935-08-01,119.100837
1935-09-01,122.233189
1935-10-01,130.838405
1935-11-01,137.236403
1935-12-01,143.494383
1936-01-01,153.395496
1936-02-01,157.230383
1936-03-01,158.771241
1936-04-01,145.879016
1936-05-01,153.479313
1936-06-01,157.208860
1936-07-01,167.726133
1936-08-01,169.420167
1936-09-01,171.080485
1936-10-01,183.261415
1936-11-01,189.254064
1936-12-01,189.632572
1937-01-01,196.004226
1937-02-01,198.160273
1937-03-01,197.664872
1937-04-01,183.176037
1937-05-01,181.765581
1937-06-01,174.131427
1937-07-01,189.698776
