# pofo simdata v1
# id: USSCV-USD
# name: US small-cap value total return (USD, daily)
# source: Ken French Data Library, 6 Portfolios formed on Size and Book-to-Market (2x3) [Daily], value-weighted SMALL HiBM (small x high book-to-market), daily returns cumulated to a total-return index from 1963-07 (the standard reliable-value start; pre-1963 book equity is hand-collected). https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/6_Portfolios_2x3_Daily_CSV.zip . Gross of fees/costs. Extends DFSVX (hence ZPRV) before its 1993 inception.
1963-07-01,99.230000
1963-07-02,99.934533
1963-07-03,100.294297
1963-07-05,100.615239
1963-07-08,99.971302
1963-07-09,100.461161
1963-07-10,100.441069
1963-07-11,100.179922
1963-07-12,99.989580
1963-07-15,99.359646
1963-07-16,99.319902
1963-07-17,98.912690
1963-07-18,98.853343
1963-07-19,98.655636
1963-07-22,97.521096
1963-07-23,97.413823
1963-07-24,97.793737
1963-07-25,97.969766
1963-07-26,98.234284
1963-07-29,98.273578
1963-07-30,98.725636
1963-07-31,98.873725
1963-08-01,98.685864
1963-08-02,98.932579
1963-08-05,99.209590
1963-08-06,99.606429
1963-08-07,99.566586
1963-08-08,99.646239
1963-08-09,100.224188
1963-08-12,100.865622
1963-08-13,100.795016
1963-08-14,101.309071
1963-08-15,101.704176
1963-08-16,102.131334
1963-08-19,102.131334
1963-08-20,101.947498
1963-08-21,102.110614
1963-08-22,102.651800
1963-08-23,103.021346
1963-08-26,103.062555
1963-08-27,102.639998
1963-08-28,103.779302
1963-08-29,104.142530
1963-08-30,104.621586
1963-09-03,104.998223
1963-09-04,104.956224
1963-09-05,105.596457
1963-09-06,105.079034
1963-09-09,104.332973
1963-09-10,105.021571
1963-09-11,105.095086
1963-09-12,105.063557
1963-09-13,105.389254
1963-09-16,105.505183
1963-09-17,105.557935
1963-09-18,104.935143
1963-09-19,105.103040
1963-09-20,105.176612
1963-09-23,104.513999
1963-09-24,104.482645
1963-09-25,103.563198
1963-09-26,103.003956
1963-09-27,102.880352
1963-09-30,102.479118
1963-10-01,103.309199
1963-10-02,103.484825
1963-10-03,104.395491
1963-10-04,104.385052
