# pofo simdata v1
# id: XAUUSD-LBMA
# name: Gold spot (XAU/USD, London/LBMA PM fix, daily)
# source: LBMA daily PM fix (USD), https://prices.lbma.org.uk/json/gold_pm.json (freely published); modern floating era from 1968-04
1968-04-01,37.700000
1968-04-02,37.300000
1968-04-03,37.600000
1968-04-04,36.950000
1968-04-05,37.000000
1968-04-08,37.050000
1968-04-09,37.500000
1968-04-10,37.700000
1968-04-11,38.000000
1968-04-16,38.000000
1968-04-17,37.800000
1968-04-18,37.550000
1968-04-19,37.650000
1968-04-22,38.000000
1968-04-23,38.400000
1968-04-24,38.250000
1968-04-25,38.300000
1968-04-26,38.650000
1968-04-29,38.750000
1968-04-30,39.100000
1968-05-01,39.200000
1968-05-02,39.450000
1968-05-03,39.100000
1968-05-06,39.750000
1968-05-07,39.300000
1968-05-08,39.750000
1968-05-09,39.700000
1968-05-10,39.600000
1968-05-13,39.500000
1968-05-14,39.800000
1968-05-15,40.250000
1968-05-16,41.250000
1968-05-17,41.500000
1968-05-20,42.300000
1968-05-21,42.400000
1968-05-22,41.550000
1968-05-23,41.400000
1968-05-24,41.750000
1968-05-27,41.500000
1968-05-28,41.500000
1968-05-29,41.600000
1968-05-30,41.950000
1968-05-31,41.950000
1968-06-04,41.150000
1968-06-05,41.200000
1968-06-06,41.200000
1968-06-07,41.250000
1968-06-10,41.300000
1968-06-11,41.550000
1968-06-12,41.900000
1968-06-13,41.300000
1968-06-14,41.000000
1968-06-17,40.700000
1968-06-18,41.100000
1968-06-19,41.400000
1968-06-20,41.100000
1968-06-21,41.050000
1968-06-24,40.900000
1968-06-25,40.950000
1968-06-26,40.850000
1968-06-27,40.900000
1968-06-28,40.900000
1968-07-01,40.800000
1968-07-02,40.900000
1968-07-03,41.050000
1968-07-04,41.150000
1968-07-05,41.000000
1968-07-08,40.850000
1968-07-09,39.800000
1968-07-10,40.100000
1968-07-11,39.100000
1968-07-12,39.300000
1968-07-15,39.200000
1968-07-16,38.500000
1968-07-17,37.750000
1968-07-18,38.000000
1968-07-19,38.700000
1968-07-22,38.600000
1968-07-23,39.000000
1968-07-24,39.200000
1968-07-25,38.900000
1968-07-26,38.900000
1968-07-29,39.100000
1968-07-30,39.000000
1968-07-31,38.850000
1968-08-01,38.900000
1968-08-02,38.850000
1968-08-05,38.950000
1968-08-06,38.700000
1968-08-07,38.700000
1968-08-08,38.450000
1968-08-09,38.550000
1968-08-12,38.600000
1968-08-13,38.900000
1968-08-14,38.950000
1968-08-15,39.150000
1968-08-16,39.150000
1968-08-19,39.150000
1968-08-20,39.550000
1968-08-21,40.000000
1968-08-22,39.750000
1968-08-23,39.500000
1968-08-26,39.500000
1968-08-27,39.650000
1968-08-28,39.600000
1968-08-29,39.850000
1968-08-30,39.800000
1968-09-03,39.950000
1968-09-04,39.900000
1968-09-05,40.100000
1968-09-06,39.900000
1968-09-09,40.050000
1968-09-10,40.030000
1968-09-11,40.100000
1968-09-12,40.100000
1968-09-13,40.150000
1968-09-16,40.300000
1968-09-17,40.300000
1968-09-18,40.500000
1968-09-19,40.450000
1968-09-20,40.400000
1968-09-23,40.400000
1968-09-24,40.450000
1968-09-25,40.450000
1968-09-26,40.450000
1968-09-27,40.130000
1968-09-30,39.600000
1968-10-01,39.450000
1968-10-02,38.900000
1968-10-03,39.180000
1968-10-04,39.050000
1968-10-07,39.780000
1968-10-08,39.600000
1968-10-09,38.900000
1968-10-10,39.050000
1968-10-11,39.280000
1968-10-14,39.300000
1968-10-15,39.100000
1968-10-16,38.950000
1968-10-17,39.280000
1968-10-18,39.100000
1968-10-21,39.000000
1968-10-22,39.050000
1968-10-23,39.200000
1968-10-24,39.200000
1968-10-25,39.250000
1968-10-28,39.480000
1968-10-29,39.500000
1968-10-30,39.200000
1968-10-31,39.000000
1968-11-01,39.180000
1968-11-04,39.200000
1968-11-05,39.430000
1968-11-06,39.530000
1968-11-07,39.300000
1968-11-08,39.400000
1968-11-11,39.550000
1968-11-12,39.680000
1968-11-13,39.880000
1968-11-14,39.900000
1968-11-15,40.000000
1968-11-18,39.950000
1968-11-19,40.230000
1968-11-20,40.550000
1968-11-21,40.250000
1968-11-22,40.000000
1968-11-25,40.100000
1968-11-26,39.700000
1968-11-27,39.900000
1968-11-28,39.800000
1968-11-29,39.850000
1968-12-02,40.150000
1968-12-03,40.280000
1968-12-04,40.500000
1968-12-05,40.350000
1968-12-06,40.500000
1968-12-09,40.600000
1968-12-10,40.630000
1968-12-11,40.950000
1968-12-12,40.980000
1968-12-13,41.000000
1968-12-16,40.970000
1968-12-17,41.230000
1968-12-18,41.900000
1968-12-19,41.730000
1968-12-20,41.700000
1968-12-23,41.600000
1968-12-27,41.750000
1968-12-30,41.900000
1968-12-31,41.900000
1969-01-02,41.800000
1969-01-03,42.050000
1969-01-06,42.050000
1969-01-07,42.100000
1969-01-08,42.450000
1969-01-09,42.500000
1969-01-10,42.300000
1969-01-13,42.100000
1969-01-14,42.500000
1969-01-15,42.700000
1969-01-16,42.350000
1969-01-17,42.200000
1969-01-20,42.200000
1969-01-21,42.480000
1969-01-22,42.530000
1969-01-23,42.050000
1969-01-24,42.100000
1969-01-27,42.200000
1969-01-28,42.430000
1969-01-29,42.500000
1969-01-30,42.550000
1969-01-31,42.540000
1969-02-03,42.430000
1969-02-04,42.500000
1969-02-05,42.730000
1969-02-06,42.630000
1969-02-07,42.530000
1969-02-10,42.450000
1969-02-11,42.550000
1969-02-12,42.500000
1969-02-13,42.580000
1969-02-14,42.500000
1969-02-17,42.650000
1969-02-18,42.580000
1969-02-19,42.650000
1969-02-20,42.630000
1969-02-21,42.630000
1969-02-24,42.700000
1969-02-25,42.650000
1969-02-26,42.700000
1969-02-27,42.800000
1969-02-28,42.700000
1969-03-03,42.700000
1969-03-04,42.850000
1969-03-05,43.000000
1969-03-06,43.250000
1969-03-07,43.500000
1969-03-10,43.830000
1969-03-11,42.950000
1969-03-12,42.850000
1969-03-13,43.100000
1969-03-14,43.000000
1969-03-17,43.100000
1969-03-18,43.000000
1969-03-19,43.100000
1969-03-20,43.200000
1969-03-21,43.200000
1969-03-24,43.350000
1969-03-25,43.350000
1969-03-26,43.430000
1969-03-27,43.460000
1969-03-28,43.230000
1969-03-31,42.900000
1969-04-01,43.150000
1969-04-02,43.250000
1969-04-03,43.380000
1969-04-08,43.380000
1969-04-09,43.400000
1969-04-10,43.390000
1969-04-11,43.400000
1969-04-14,43.150000
1969-04-15,42.980000
1969-04-16,43.250000
1969-04-17,43.200000
1969-04-18,43.230000
1969-04-21,43.150000
1969-04-22,43.300000
1969-04-23,43.350000
1969-04-24,43.350000
1969-04-25,43.300000
1969-04-28,43.600000
1969-04-29,43.500000
1969-04-30,43.600000
1969-05-01,43.600000
1969-05-02,43.600000
1969-05-05,43.500000
1969-05-06,43.380000
1969-05-07,43.600000
1969-05-08,43.630000
1969-05-09,43.530000
1969-05-12,43.500000
1969-05-13,43.500000
1969-05-14,43.500000
1969-05-15,43.500000
1969-05-16,43.500000
1969-05-19,43.500000
1969-05-20,43.430000
1969-05-21,43.450000
1969-05-22,43.450000
1969-05-23,43.500000
1969-05-27,43.480000
1969-05-28,43.330000
1969-05-29,43.230000
1969-05-30,43.080000
1969-06-02,42.680000
1969-06-03,42.290000
1969-06-04,42.080000
1969-06-05,41.600000
1969-06-06,40.630000
1969-06-09,41.250000
1969-06-10,42.300000
1969-06-11,41.400000
1969-06-12,41.500000
1969-06-13,41.600000
1969-06-16,40.800000
1969-06-17,41.450000
1969-06-18,41.400000
1969-06-19,41.450000
1969-06-20,41.300000
1969-06-23,41.300000
1969-06-24,40.930000
1969-06-25,40.900000
1969-06-26,41.000000
1969-06-27,41.100000
1969-06-30,41.200000
1969-07-01,41.150000
1969-07-02,41.230000
1969-07-03,41.550000
1969-07-04,41.600000
1969-07-07,41.850000
1969-07-08,42.100000
1969-07-09,41.830000
1969-07-10,41.900000
1969-07-11,41.890000
1969-07-14,42.000000
1969-07-15,42.000000
1969-07-16,41.800000
1969-07-17,41.980000
1969-07-18,41.950000
1969-07-21,42.000000
1969-07-22,41.950000
1969-07-23,41.800000
1969-07-24,41.900000
1969-07-25,41.850000
1969-07-28,41.780000
1969-07-29,41.500000
1969-07-30,41.480000
1969-07-31,41.390000
1969-08-01,41.430000
1969-08-04,41.300000
1969-08-05,41.100000
1969-08-06,41.000000
1969-08-07,41.050000
1969-08-08,41.150000
1969-08-11,41.200000
1969-08-12,41.100000
1969-08-13,41.200000
1969-08-14,41.190000
1969-08-15,41.110000
1969-08-18,41.130000
1969-08-19,41.100000
1969-08-20,41.100000
1969-08-21,41.050000
1969-08-22,41.050000
1969-08-25,40.950000
1969-08-26,40.880000
1969-08-27,40.950000
1969-08-28,40.950000
1969-08-29,40.860000
1969-09-02,40.730000
1969-09-03,40.830000
1969-09-04,40.930000
1969-09-05,40.900000
1969-09-08,40.910000
1969-09-09,41.050000
1969-09-10,40.950000
1969-09-11,40.930000
1969-09-12,41.050000
1969-09-15,41.000000
1969-09-16,41.000000
1969-09-17,40.980000
1969-09-18,40.850000
1969-09-19,40.900000
1969-09-22,40.880000
1969-09-23,40.840000
1969-09-24,40.840000
1969-09-25,40.750000
1969-09-26,40.750000
1969-09-29,40.630000
1969-09-30,40.680000
1969-10-01,40.750000
1969-10-02,40.880000
1969-10-03,40.950000
1969-10-06,40.750000
1969-10-07,40.780000
1969-10-08,40.730000
1969-10-09,40.790000
1969-10-10,40.730000
1969-10-13,40.630000
1969-10-14,40.700000
1969-10-15,40.730000
1969-10-16,40.630000
1969-10-17,40.530000
1969-10-20,40.350000
1969-10-21,40.300000
1969-10-22,40.050000
1969-10-23,40.000000
1969-10-24,40.050000
1969-10-27,40.150000
1969-10-28,40.050000
1969-10-29,39.980000
1969-10-30,39.930000
1969-10-31,39.750000
1969-11-03,39.550000
1969-11-04,39.550000
1969-11-05,39.400000
1969-11-06,39.000000
1969-11-07,38.530000
1969-11-10,38.130000
1969-11-11,38.350000
1969-11-12,37.750000
1969-11-13,37.800000
1969-11-14,37.880000
1969-11-17,37.830000
1969-11-18,37.550000
1969-11-19,36.650000
