# Correspondance ticker → ISIN pour les ETF/OPCVM européens courants chez les
# investisseurs individuels (Finary, r/vosfinances, r/eupersonalfinance…).
# Format: ISIN;nom;tickers (séparés par des espaces, toutes places confondues)
# Les tickers US n'y figurent pas: ils se résolvent directement sur Yahoo.
# Chaque ISIN a été validé contre l'API de recherche du Financial Times.
#
# — Monde / All-Country —
IE00B4L5Y983;iShares Core MSCI World UCITS ETF USD Acc;IWDA SWDA EUNL
IE00BK5BQT80;Vanguard FTSE All-World UCITS ETF USD Acc;VWCE VWRA
IE00B3RBWM25;Vanguard FTSE All-World UCITS ETF USD Dist;VWRL VWRD
IE0003XJA0J9;Amundi Prime All Country World UCITS ETF Acc;WEBN
IE00BJ0KDQ92;Xtrackers MSCI World UCITS ETF 1C;XDWD
IE00BFY0GT14;SPDR MSCI World UCITS ETF;SWRD
IE00B4X9L533;HSBC MSCI World UCITS ETF;HMWO
IE00B6R52259;iShares MSCI ACWI UCITS ETF USD Acc;SSAC ISAC IUSQ
IE00B44Z5B48;SPDR MSCI ACWI UCITS ETF;SPYY ACWD
IE00B3YLTY66;SPDR MSCI ACWI IMI UCITS ETF;SPYI IMID
IE000716YHJ7;Invesco FTSE All-World UCITS ETF Acc;FWRA
LU1681043599;Amundi MSCI World UCITS ETF EUR Acc;CW8
LU2655993207;Amundi MSCI World Swap UCITS ETF EUR Dist;MWRD
IE00BKX55T58;Vanguard FTSE Developed World UCITS ETF USD Dist;VEVE
IE00BK5BQV03;Vanguard FTSE Developed World UCITS ETF USD Acc;VHVE
FR0010315770;Amundi ETF MSCI World UCITS ETF Dist;WLD
IE00BF4RFH31;iShares MSCI World Small Cap UCITS ETF USD Acc;IUSN WSML
#
# — PEA (France) —
FR001400U5Q4;Amundi PEA Monde (MSCI World) UCITS ETF Acc;DCAM
IE0002XZSHO1;iShares MSCI World Swap PEA UCITS ETF EUR Acc;WPEA
IE000DQLYVB9;iShares S&P 500 Swap PEA UCITS ETF EUR Acc;SPEA
FR0011550185;BNP Paribas Easy S&P 500 UCITS ETF EUR Acc;ESE
FR0013412285;Amundi PEA S&P 500 Screened UCITS ETF Acc;PE500
FR0011871128;Amundi PEA S&P 500 UCITS ETF Acc;PSP5
FR0011871110;Amundi PEA Nasdaq-100 UCITS ETF Acc;PUST
FR0013412020;Amundi PEA Émergents ESG UCITS ETF Acc;PAEEM
FR0013412038;Amundi PEA MSCI Europe UCITS ETF Acc;PCEU
FR0007052782;Amundi CAC 40 UCITS ETF Dist;CAC
#
# — S&P 500 / actions US —
IE00B5BMR087;iShares Core S&P 500 UCITS ETF USD Acc;CSPX CSP1 SXR8
IE0031442068;iShares Core S&P 500 UCITS ETF USD Dist;IUSA
IE00B3XXRP09;Vanguard S&P 500 UCITS ETF USD Dist;VUSA VUSD
IE00BFMXXD54;Vanguard S&P 500 UCITS ETF USD Acc;VUAA VUAG
IE000XZSV718;SPDR S&P 500 UCITS ETF USD Acc;SPYL
IE00B6YX5C33;SPDR S&P 500 UCITS ETF USD Dist;SPY5
IE00B3YCGJ38;Invesco S&P 500 UCITS ETF Acc;SPXS SPXP
LU0496786574;Amundi Core S&P 500 Swap UCITS ETF EUR Dist;P500
IE00B3WJKG14;iShares S&P 500 Information Technology Sector UCITS ETF;IUIT QDVE
#
# — Nasdaq / tech —
IE0032077012;Invesco EQQQ Nasdaq-100 UCITS ETF Dist;EQQQ
IE00B53SZB19;iShares Nasdaq 100 UCITS ETF USD Acc;CNDX CNX1 SXRV
LU1681038243;Amundi Nasdaq-100 Swap UCITS ETF EUR Acc;ANX
IE00BMC38736;VanEck Semiconductor UCITS ETF;VVSM SMH
IE00BGV5VN51;Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C;XAIX
#
# — Europe —
DE0002635307;iShares STOXX Europe 600 UCITS ETF (DE);EXSA
LU0908500753;Amundi Stoxx Europe 600 UCITS ETF Acc;MEUD
LU0328475792;Xtrackers Stoxx Europe 600 UCITS ETF 1C;XSX6
IE00B4K48X80;iShares Core MSCI Europe UCITS ETF EUR Acc;SMEA IMEU
IE00B945VV12;Vanguard FTSE Developed Europe UCITS ETF Dist;VEUR
IE00B52VJ196;iShares MSCI Europe SRI UCITS ETF EUR Acc;IESE
DE0005933931;iShares Core DAX UCITS ETF (DE);EXS1
LU0274211480;Xtrackers DAX UCITS ETF 1C;DBXD
#
# — Émergents —
IE00BKM4GZ66;iShares Core MSCI EM IMI UCITS ETF USD Acc;EIMI EMIM IS3N
IE00B3VVMM84;Vanguard FTSE Emerging Markets UCITS ETF USD Dist;VFEM
IE00BK5BR733;Vanguard FTSE Emerging Markets UCITS ETF USD Acc;VFEA
LU1681045370;Amundi MSCI Emerging Markets Swap UCITS ETF EUR Acc;AEEM
IE00BTJRMP35;Xtrackers MSCI Emerging Markets UCITS ETF 1C;XMME
#
# — Obligations / monétaire —
LU0290358497;Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C;XEON
IE00BDBRDM35;iShares Core Global Aggregate Bond UCITS ETF USD Dist;AGGG
IE00B3DKXQ41;iShares € Aggregate Bond ESG SRI UCITS ETF EUR Dist;IEAG
IE00BGSF1X88;iShares $ Treasury Bond 0-1yr UCITS ETF USD Acc;IB01
IE00BSKRJZ44;iShares $ Treasury Bond 20+yr UCITS ETF USD Dist;IDTL DTLA
#
# — Or / matières premières —
IE00B579F325;Invesco Physical Gold ETC;SGLD 8PSG
JE00B1VS3770;WisdomTree Physical Gold ETC;PHAU PHGP
DE000A0S9GB0;Xetra-Gold ETC;4GLD
IE00B4ND3602;iShares Physical Gold ETC;IGLN
#
# — Facteurs / dividendes / small caps —
IE00B8GKDB10;Vanguard FTSE All-World High Dividend Yield UCITS ETF Dist;VHYL
NL0011683594;VanEck Morningstar Developed Dividend Leaders UCITS ETF;TDIV
IE00BSPLC413;SPDR MSCI USA Small Cap Value Weighted UCITS ETF;ZPRV
IE00BSPLC298;SPDR MSCI Europe Small Cap Value Weighted UCITS ETF;ZPRX
IE00BP3QZ825;iShares Edge MSCI World Momentum Factor UCITS ETF USD Acc;IWMO XDEM
